scope,function,lipid_class,id,mz,fragment_type,evidence_role,scoring_eligible,diagnostic_strength,gate_eligible,classification_status,classification_source,eligibility_reason,lcb_identity,scoring_pool,fragment_name,theoretical_mz,selected_evidence_label,all_evidence_types,evidence_annotations
synthetic_only,SM,SM,[phosphocholine-H3PO4+H]+,86.0964,common,supporting,True,supporting,False,classified,generator:SM,existing discrete rule,,support,[phosphocholine-H3PO4+H]+,86.0964,[phosphocholine-H3PO4+H]+,common,"[{""fragment_name"": ""[phosphocholine-H3PO4+H]+"", ""fragment_type"": ""common"", ""evidence_role"": ""supporting"", ""scoring_eligible"": true, ""diagnostic_strength"": ""supporting"", ""gate_eligible"": false, ""classification_status"": ""classified"", ""classification_source"": ""generator:SM"", ""eligibility_reason"": ""existing discrete rule"", ""lcb_identity"": """"}]"
synthetic_only,SM,SM,P-O断裂,104.1066,common,supporting,True,supporting,False,classified,generator:SM,existing discrete rule,,support,P-O断裂,104.1066,P-O断裂,common,"[{""fragment_name"": ""P-O断裂"", ""fragment_type"": ""common"", ""evidence_role"": ""supporting"", ""scoring_eligible"": true, ""diagnostic_strength"": ""supporting"", ""gate_eligible"": false, ""classification_status"": ""classified"", ""classification_source"": ""generator:SM"", ""eligibility_reason"": ""existing discrete rule"", ""lcb_identity"": """"}]"
synthetic_only,SM,SM,[phosphocholine+H]+,184.0733,HG,class_diagnostic,True,diagnostic,True,classified,generator:SM,existing discrete rule,,primary,[phosphocholine+H]+,184.0733,[phosphocholine+H]+,HG,"[{""fragment_name"": ""[phosphocholine+H]+"", ""fragment_type"": ""HG"", ""evidence_role"": ""class_diagnostic"", ""scoring_eligible"": true, ""diagnostic_strength"": ""diagnostic"", ""gate_eligible"": true, ""classification_status"": ""classified"", ""classification_source"": ""generator:SM"", ""eligibility_reason"": ""existing discrete rule"", ""lcb_identity"": """"}]"
synthetic_only,SM,SM,SM(d34:1)-C5H14NO4P,1316.934,NL,diagnostic_nl,True,diagnostic,True,classified,generator:SM,unhydrated class-specific loss,,,SM(d34:1)-C5H14NO4P,1316.934,SM(d34:1)-C5H14NO4P,NL,"[{""fragment_name"": ""SM(d34:1)-C5H14NO4P"", ""fragment_type"": ""NL"", ""evidence_role"": ""diagnostic_nl"", ""scoring_eligible"": true, ""diagnostic_strength"": ""diagnostic"", ""gate_eligible"": true, ""classification_status"": ""classified"", ""classification_source"": ""generator:SM"", ""eligibility_reason"": ""unhydrated class-specific loss"", ""lcb_identity"": """"}]"
synthetic_only,SM,SM,SM(d34:1)-C3H9N,1440.93,NL,supporting_nl,True,informative,False,classified,generator:SM,unhydrated class-specific loss,,support,SM(d34:1)-C3H9N,1440.93,SM(d34:1)-C3H9N,NL,"[{""fragment_name"": ""SM(d34:1)-C3H9N"", ""fragment_type"": ""NL"", ""evidence_role"": ""supporting_nl"", ""scoring_eligible"": true, ""diagnostic_strength"": ""informative"", ""gate_eligible"": false, ""classification_status"": ""classified"", ""classification_source"": ""generator:SM"", ""eligibility_reason"": ""unhydrated class-specific loss"", ""lcb_identity"": """"}]"
synthetic_only,PE_cer,PE-Cer,[phosphoethanolamine+H]+,142.0269,HG,class_diagnostic,True,diagnostic,True,classified,generator:PE_cer,existing discrete rule,,primary,[phosphoethanolamine+H]+,142.0269,[phosphoethanolamine+H]+,HG,"[{""fragment_name"": ""[phosphoethanolamine+H]+"", ""fragment_type"": ""HG"", ""evidence_role"": ""class_diagnostic"", ""scoring_eligible"": true, ""diagnostic_strength"": ""diagnostic"", ""gate_eligible"": true, ""classification_status"": ""classified"", ""classification_source"": ""generator:PE_cer"", ""eligibility_reason"": ""existing discrete rule"", ""lcb_identity"": """"}]"
synthetic_only,PE_cer,PE-Cer,PE-Cer(d34:1)-phosphoethanolamine,1358.9809,NL,diagnostic_nl,True,diagnostic,True,classified,generator:PE_cer,unhydrated class-specific loss,,,PE-Cer(d34:1)-phosphoethanolamine,1358.9809,PE-Cer(d34:1)-phosphoethanolamine,NL,"[{""fragment_name"": ""PE-Cer(d34:1)-phosphoethanolamine"", ""fragment_type"": ""NL"", ""evidence_role"": ""diagnostic_nl"", ""scoring_eligible"": true, ""diagnostic_strength"": ""diagnostic"", ""gate_eligible"": true, ""classification_status"": ""classified"", ""classification_source"": ""generator:PE_cer"", ""eligibility_reason"": ""unhydrated class-specific loss"", ""lcb_identity"": """"}]"
synthetic_only,PE_cer,PE-Cer,PE-Cer(d34:1)-C2H5N,1456.966,NL,supporting_nl,True,informative,False,classified,generator:PE_cer,unhydrated class-specific loss,,support,PE-Cer(d34:1)-C2H5N,1456.966,PE-Cer(d34:1)-C2H5N,NL,"[{""fragment_name"": ""PE-Cer(d34:1)-C2H5N"", ""fragment_type"": ""NL"", ""evidence_role"": ""supporting_nl"", ""scoring_eligible"": true, ""diagnostic_strength"": ""informative"", ""gate_eligible"": false, ""classification_status"": ""classified"", ""classification_source"": ""generator:PE_cer"", ""eligibility_reason"": ""unhydrated class-specific loss"", ""lcb_identity"": """"}]"
synthetic_only,PI_cer,PI-Cer,[phosphate+H]+,261.037,HG,class_diagnostic,True,diagnostic,True,classified,generator:PI_cer,existing discrete rule,,primary,[phosphate+H]+,261.037,[phosphate+H]+,HG,"[{""fragment_name"": ""[phosphate+H]+"", ""fragment_type"": ""HG"", ""evidence_role"": ""class_diagnostic"", ""scoring_eligible"": true, ""diagnostic_strength"": ""diagnostic"", ""gate_eligible"": true, ""classification_status"": ""classified"", ""classification_source"": ""generator:PI_cer"", ""eligibility_reason"": ""existing discrete rule"", ""lcb_identity"": """"}]"
synthetic_only,PI_cer,PI-Cer,PI-Cer(d34:1)-phosphate,1239.9703,NL,diagnostic_nl,True,diagnostic,True,classified,generator:PI_cer,unhydrated class-specific loss,,,PI-Cer(d34:1)-phosphate,1239.9703,PI-Cer(d34:1)-phosphate,NL,"[{""fragment_name"": ""PI-Cer(d34:1)-phosphate"", ""fragment_type"": ""NL"", ""evidence_role"": ""diagnostic_nl"", ""scoring_eligible"": true, ""diagnostic_strength"": ""diagnostic"", ""gate_eligible"": true, ""classification_status"": ""classified"", ""classification_source"": ""generator:PI_cer"", ""eligibility_reason"": ""unhydrated class-specific loss"", ""lcb_identity"": """"}]"
