"class"	"records"
"Cer"	1467900
"HexCer"	1048500
"DGDG-O"	419400
"MGDG-O"	419400
"PC-O"	419400
"SM"	419400
"HBMP"	332124
"DGDG"	220256
"MGDG"	220256
"PC"	220256
"FAHFA"	213780
"CerP"	209700
"PE-O"	209700
"PG-O"	209700
"PI-O"	209700
"PS-O"	209700
"SL"	209700
"SL+O"	209700
"O2xPC"	176344
"OxPC"	176344
"DGGA"	110128
"DLCL"	110128
"DMPE"	110128
"MMPE"	110128
"PA"	110128
"PE"	110128
"PEtOH"	110128
"PG"	110128
"PI"	110128
"PMeOH"	110128
"PS"	110128
"O2xPG"	88172
"O2xPI"	88172
"O2xPS"	88172
"OxPG"	88172
"OxPI"	88172
"OxPS"	88172
"NAGly"	80376
"ADGGA"	70420
"SMGDG-O"	52656
"O2xPE"	46316
"OxPE"	46316
"CL"	16052
"MGMG"	15120
"LNAPE"	10032
"LNAPS"	10032
"PE-Cer"	10032
"PE-Cer+O"	10032
"PI-Cer"	10032
"PI-Cer+O"	10032
"AHexCer-O"	9064
"Solated_Cysteinolide-A"	7816
"Solated_Cysteinolide-B"	7816
"Synthesized-SALs"	7816
"LPA"	7728
"OxFA"	6636
"FA"	5040
"LPC"	2688
"LPC-O"	2688
"GPNAE"	1920
"O2xFA"	1596
"LPE"	1344
"LPE-O"	1344
"LPG"	1344
"LPG-O"	1344
"LPI"	1344
"LPS"	1344
"AHexCS-ST"	840
"AHexBRS-ST"	728
"AHexSIS-ST"	728
"AHexSTS-ST"	728
"SHex-ST"	728
"AHexCAS"	440
"SSulfate-ST"	364
"BASulfate-ST"	164
"DCAE-SE"	164
"Vitamin-E_CAH_Vitamin-E"	8
