"class"	"records"
"TG-O"	479076
"OxTG"	467432
"Cer"	419400
"HexCer"	419400
"SL"	419400
"SL+O"	419400
"DG"	220256
"CerP"	209700
"DG-O"	209700
"DGDG-O"	209700
"Hex2Cer"	209700
"Hex3Cer"	209700
"MGDG-O"	209700
"PE-O"	209700
"PE-P"	209700
"SM"	209700
"TG"	186528
"ADGGA-O"	112012
"TG-EST"	112012
"PC"	110180
"PS"	110148
"PE"	110136
"BMP"	110128
"DGCC"	110128
"DGDG"	110128
"DGGA"	110128
"DGTS"	110128
"DMPE"	110128
"MGDG"	110128
"MMPE"	110128
"PG"	110128
"PMeOH"	110128
"SQDG"	94740
"NAGly"	80376
"NAGlySer"	80376
"NAOrn"	80376
"GD1a"	10032
"GD1b"	10032
"GM1"	10032
"GM3"	10032
"GQ1b"	10032
"GT1b"	10032
"SHexCer"	10032
"SHexCer+O"	10032
"ASM"	8544
"BRSE"	7816
"CASE"	7816
"SPB"	7560
"CAR"	5040
"CE"	5040
"LDGCC"	5040
"MGMG"	5040
"NAE"	5040
"LPC"	2688
"GPNAE"	1920
"LDGTS"	1620
"LPC-O"	1344
"LPE"	1344
"LPE-O"	1344
"MG"	488
"Cholesterol-ST_CAH_Cholesterol-ST"	4
"CoQ10_CAH_CoQ10"	4
"CoQ1_CAH_CoQ1"	4
"CoQ2_CAH_CoQ2"	4
"CoQ3_CAH_CoQ3"	4
"CoQ4_CAH_CoQ4"	4
"CoQ5_CAH_CoQ5"	4
"CoQ6_CAH_CoQ6"	4
"CoQ7_CAH_CoQ7"	4
"CoQ8_CAH_CoQ8"	4
"CoQ9_CAH_CoQ9"	4
"Dehydroergosterol-SE_CAH_Dehydroergosterol-SE"	4
"Vitamin-D_CAH_Vitamin-E"	4
