result_id,hilic_fraction_min,lipid_subclass,lipid_annotation,precursor_annotation,candidate_rank,match_score,total_score,ms2_abundance,variable_carbon_number,curve_unsaturation,normalized_rt_min,mean_ms2_rt_min,merged_ms2_spectrum_count,ms1_feature_id,ms2_scan_id
MR005658,0-5,So(dx:y),So(d13:3),So(d13:3),1,0.67,67.0,1.0,13.0,3.0,3.278,8.2282,1,F000019,scanId=493700
MR6_0000002,0-5,Sa(dx:y),Sa(d16:0),Sa(d16:0),1,0.67,67.0,1.0,16.0,0.0,3.5120000000000005,8.599499479167,1,F000030,scanId=515977
MR6_0000003,0-5,Sa(dx:y),Sa(d17:0),Sa(d17:0),1,0.67,67.0,1.0,17.0,0.0,3.555999999999999,8.553749479167,1,F000033,scanId=513232
MR005644,0-5,So(dx:y),So(d16:1),So(d16:1),1,0.67,67.0,1.0,16.0,1.0,3.561999999999999,8.543383854167,1,F000035,scanId=512611
MR001269,0-5,Cer(m14:4/x:y),Cer(m14:4/13:3),Cer(m27:7),1,0.5,50.0,1.0,13.0,3.0,3.699999999999999,8.76001640625,2,F000047,scanId=522956; scanId=528261
MR005647,0-5,So(dx:y),So(d17:1),So(d17:1),1,0.67,67.0,1.0,17.0,1.0,3.706,8.577550260416501,2,F000048,scanId=513335; scanId=515987
MR005643,0-5,So(dx:y),So(d15:1),So(d15:1),1,0.67,67.0,1.0,15.0,1.0,4.278,9.250116666667,1,F000094,scanId=555015
MR005666,0-5,So(mx:y),So(m14:1),So(m14:1),1,1.0,100.0,1.0,14.0,1.0,4.406000000000001,9.5016083333335,2,F000114,scanId=564866; scanId=575343
MR005646,0-5,So(dx:y),So(d16:1),So(d16:1),1,0.67,67.0,1.0,16.0,1.0,4.423,9.397083333333,1,F000117,scanId=563833
MR005655,0-5,So(dx:y),So(d20:2),So(d20:2),1,0.67,67.0,1.0,20.0,2.0,4.428000000000001,9.42975,1,F000118,scanId=565793
MR6_0000011,0-5,Sa(dx:y),Sa(d22:0),Sa(d22:0),1,0.67,67.0,1.0,22.0,0.0,4.489000000000001,9.5554,1,F000122,scanId=573332
MR6_0000012,0-5,CAEP(d18:1/x:y),CAEP(d18:1/18:4),CAEP(d36:5),1,0.38,38.0,1.0,18.0,4.0,4.489000000000001,9.675966666667,1,F000123,scanId=580566
MR6_0000013,0-5,CAEP(d20:3/x:y),CAEP(d20:3/16:2),CAEP(d36:5),2,0.38,34.2,1.0,16.0,2.0,4.489000000000001,9.675966666667,1,F000123,scanId=580566
MR005662,0-5,So(dx:y),So(d22:3),So(d22:3),1,0.67,67.0,1.0,22.0,3.0,4.573,9.745233333333,1,F000132,scanId=584722
MR001265,0-5,Cer(m14:3/x:y),Cer(m14:3/17:4),Cer(m31:7),1,0.5,50.0,1.0,17.0,4.0,4.638999999999999,9.58715,2,F000141,scanId=573699; scanId=576775
MR001271,0-5,Cer(m14:4/x:y),Cer(m14:4/17:3),Cer(m31:7),1,0.5,50.0,1.0,17.0,3.0,4.638999999999999,9.58715,2,F000141,scanId=573699; scanId=576775
MR001286,0-5,Cer(m15:3/x:y),Cer(m15:3/16:4),Cer(m31:7),1,0.5,50.0,1.0,16.0,4.0,4.638999999999999,9.58715,2,F000141,scanId=573699; scanId=576775
MR001290,0-5,Cer(m15:4/x:y),Cer(m15:4/16:3),Cer(m31:7),1,0.5,50.0,1.0,16.0,3.0,4.638999999999999,9.58715,2,F000141,scanId=573699; scanId=576775
MR001369,0-5,Cer(m16:3/x:y),Cer(m16:3/15:4),Cer(m31:7),1,0.5,50.0,1.0,15.0,4.0,4.638999999999999,9.58715,2,F000141,scanId=573699; scanId=576775
MR001372,0-5,Cer(m16:4/x:y),Cer(m16:4/15:3),Cer(m31:7),1,0.5,50.0,1.0,15.0,3.0,4.638999999999999,9.58715,2,F000141,scanId=573699; scanId=576775
MR001536,0-5,Cer(m17:3/x:y),Cer(m17:3/14:4),Cer(m31:7),1,0.5,50.0,1.0,14.0,4.0,4.638999999999999,9.58715,2,F000141,scanId=573699; scanId=576775
MR001538,0-5,Cer(m17:4/x:y),Cer(m17:4/14:3),Cer(m31:7),1,0.5,50.0,1.0,14.0,3.0,4.638999999999999,9.58715,2,F000141,scanId=573699; scanId=576775
MR001784,0-5,Cer(m18:3/x:y),Cer(m18:3/13:4),Cer(m31:7),1,0.5,50.0,1.0,13.0,4.0,4.638999999999999,9.58715,2,F000141,scanId=573699; scanId=576775
MR001789,0-5,Cer(m18:4/x:y),Cer(m18:4/13:3),Cer(m31:7),1,0.5,50.0,1.0,13.0,3.0,4.638999999999999,9.612783333333,1,F000141,scanId=576775
MR001995,0-5,Cer(m21:4/x:y),Cer(m21:4/10:3),Cer(m31:7),1,0.75,75.0,1.0,10.0,3.0,4.638999999999999,9.561516666667,1,F000141,scanId=573699
MR001267,0-5,Cer(m14:4/x:y),Cer(m14:4/10:2),Cer(m24:6),1,0.5,50.0,1.0,10.0,2.0,4.689,9.8535,1,F000146,scanId=591218
MR005661,0-5,So(dx:y),So(d20:3),So(d20:3),1,0.67,67.0,1.0,20.0,3.0,4.695,9.688083333333,1,F000147,scanId=581293
MR005663,0-5,So(dx:y),So(d20:4),So(d20:4),1,0.67,67.0,1.0,20.0,4.0,4.723000000000001,9.69875,1,F000148,scanId=581933
MR005685,0-5,So(mx:y),So(m18:3),So(m18:3),1,1.0,100.0,1.0,18.0,3.0,4.75,9.82405,1,F000154,scanId=589451
MR005657,0-5,So(dx:y),So(d22:2),So(d22:2),1,0.67,67.0,1.0,22.0,2.0,4.767,9.786133333333,1,F000158,scanId=587176
MR005668,0-5,So(mx:y),So(m16:1),So(m16:1),1,1.0,100.0,1.0,16.0,1.0,4.872999999999999,9.8615583333335,2,F000172,scanId=588566; scanId=594837
