classification_mode,rt_rule,score_tier,analysis_scope,result_id,hilic_fraction_min,lipid_subclass,lipid_annotation,ms1_feature_id,candidate_rank,match_score,normalized_rt_min,carbon_number,unsaturation,fit_type,fit_r_squared,absolute_rt_residual_min,iup_vertical_shift_min,fit_status,retention_reason
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR6_0000002,0-5,Sa(dx:y),Sa(d16:0),F000030,1,0.67,3.5120000000000005,16.0,0.0,Linear,0.99893141896312,0.0256796407185628,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR6_0000003,0-5,Sa(dx:y),Sa(d17:0),F000033,1,0.67,3.555999999999999,17.0,0.0,Linear,0.99893141896312,0.1540059880239535,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR005644,0-5,So(dx:y),So(d16:1),F000035,1,0.67,3.561999999999999,16.0,1.0,Linear,0.9984613761113784,0.1142707006369412,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR005647,0-5,So(dx:y),So(d17:1),F000048,1,0.67,3.706,17.0,1.0,Linear,0.9984613761113784,0.0552229299363054,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR005666,0-5,So(mx:y),So(m14:1),F000114,1,1.0,4.406000000000001,14.0,1.0,Linear,0.995186425906226,0.017467391304347,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR001538,0-5,Cer(m17:4/x:y),Cer(m17:4/14:3),F000141,1,0.5,4.638999999999999,14.0,3.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR001789,0-5,Cer(m18:4/x:y),Cer(m18:4/13:3),F000141,1,0.5,4.638999999999999,13.0,3.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR001995,0-5,Cer(m21:4/x:y),Cer(m21:4/10:3),F000141,1,0.75,4.638999999999999,10.0,3.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR001267,0-5,Cer(m14:4/x:y),Cer(m14:4/10:2),F000146,1,0.5,4.689,10.0,2.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR005663,0-5,So(dx:y),So(d20:4),F000148,1,0.67,4.723000000000001,20.0,4.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR005685,0-5,So(mx:y),So(m18:3),F000154,1,1.0,4.75,18.0,3.0,,,,0.0,拟合通过,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR005668,0-5,So(mx:y),So(m16:1),F000172,1,1.0,4.872999999999999,16.0,1.0,Linear,0.995186425906226,0.0500543478260855,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR005664,0-5,So(dx:y),So(d21:4),F000178,1,0.67,4.956,21.0,4.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR005669,0-5,So(mx:y),So(m17:1),F000181,1,1.0,4.978,17.0,1.0,Linear,0.995186425906226,0.062152173913045,0.0,拟合通过,ECN拟合通过且在0.2min内
detailed_chain,ECN,high_score_ge_0.50,formal_score_ge_0.50_fit,MR6_0000043,0-5,Cer(d14:3/x:y)(2OH),Cer(d14:3/10:1)(2OH),F000203,1,0.5,5.192,10.0,1.0,,,,0.0,点数不足未拟合,点数不足但ECN未见明确下降，保留
