classification_mode,rt_rule,lipid_subclass,unsaturation,fit_type,fit_parameters,fit_r_squared,raw_point_count,distinct_carbon_count,representative_point_count,inlier_count,carbon_min,carbon_max,fit_equation,iup_vertical_shift_min,parallelism_passed,parallelism_reference_unsaturation,median_absolute_slope_difference,median_relative_slope_difference,parallelism_note
detailed_chain,ECN,Cer(d14:0/x:y),0.0,Linear,"[0.42765677966101706, -0.3096525423728842]",0.9995280738347676,28,7,7,4,18.0,28.0,y = 0.427657 * x + -0.309653,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d14:0/x:y)(2OH),0.0,Linear,"[0.4424425675675675, -1.827783783783783]",0.9988720202096668,30,9,9,5,22.0,32.0,y = 0.442443 * x + -1.82778,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d15:0/x:y),0.0,Linear,"[0.42776315789473707, 0.11036842105262679]",0.9993924540620736,30,8,8,5,18.0,27.0,y = 0.427763 * x + 0.110368,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d15:0/x:y)(2OH),0.0,Linear,"[0.43490217391304337, -1.2071413043478234]",0.9989768701705096,31,10,10,6,21.0,33.0,y = 0.434902 * x + -1.20714,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d16:0/x:y),0.0,Linear,"[0.43083593750000027, 0.45419531249999423]",0.9999282730650538,39,9,9,6,17.0,26.0,y = 0.430836 * x + 0.454195,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d16:0/x:y)(2OH),0.0,Linear,"[0.44427731092436956, -0.9634607843137228]",0.9970483732940836,32,9,9,6,20.0,30.0,y = 0.444277 * x + -0.963461,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d16:1/x:y),0.0,Quadratic,"[0.05757260479041913, -2.106016616766466, 27.15197215568861]",0.999879943108914,12,6,6,4,18.0,26.0,y = 0.0575726 * x^2 + -2.10602 * x + 27.152,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d17:0/x:y),0.0,Linear,"[0.428556629834254, 0.9413121546961332]",0.9995755656102484,40,10,10,7,15.0,25.0,y = 0.428557 * x + 0.941312,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d17:0/x:y),1.0,Linear,"[0.4172499999999988, -0.06208333333330529]",0.9998850154421508,27,7,7,3,21.0,25.0,y = 0.41725 * x + -0.0620833,0.0,True,0.0,0.0113066298342552,0.0263830472967554,通过
detailed_chain,ECN,Cer(d17:0/x:y),2.0,Quadratic,"[-0.007398984593837595, 0.7210603991596672, -3.414422969187722]",0.9965628839088014,39,9,9,8,19.0,27.0,y = -0.00739898 * x^2 + 0.72106 * x + -3.41442,0.0,True,1.0,0.0365428921568609,0.0875803287162637,通过
detailed_chain,ECN,Cer(d17:0/x:y),3.0,Linear,"[0.40507142857142864, -0.7395714285714305]",0.9995763394569128,14,6,6,6,21.0,27.0,y = 0.405071 * x + -0.739571,0.0,True,2.0,0.0391622899159659,0.0966799609986816,通过
detailed_chain,ECN,Cer(d17:0/x:y)(2OH),0.0,Linear,"[0.45073327137546454, -0.6575604089219294]",0.9971722888684348,34,10,10,7,19.0,29.0,y = 0.450733 * x + -0.65756,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d17:0/x:y)(2OH),1.0,Quadratic,"[-0.02008225231160686, 1.2285336233727866, -8.453213599291162]",0.9979697955748816,23,6,6,5,19.0,31.0,y = -0.0200823 * x^2 + 1.22853 * x + -8.45321,0.0,False,0.0,0.1861477589598072,0.4129887247767529,相邻不饱和度曲线斜率差超过阈值
detailed_chain,ECN,Cer(d17:1/x:y),0.0,Linear,"[0.434127906976744, 0.5166046511627957]",0.999949620955637,21,5,5,3,17.0,24.0,y = 0.434128 * x + 0.516605,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d17:1/x:y),1.0,Linear,"[0.8867499999999998, -11.576833333333331]",0.9999014235384164,13,6,6,3,23.0,25.0,y = 0.88675 * x + -11.5768,0.0,,0.0,,,重叠碳数范围不足，无法判断
detailed_chain,ECN,Cer(d17:1/x:y),2.0,Linear,"[0.21229508196721314, 3.7197479508196736]",0.9934481488497204,16,5,5,4,19.0,34.0,y = 0.212295 * x + 3.71975,0.0,False,1.0,0.6744549180327867,0.7605919571838589,相邻不饱和度曲线斜率差超过阈值
detailed_chain,ECN,Cer(d17:2/x:y),0.0,Linear,"[0.4193013698630135, -0.35041095890410645]",0.999989374769332,9,6,6,5,19.0,26.0,y = 0.419301 * x + -0.350411,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d18:0/x:y),0.0,Linear,"[0.4248090075062553, 1.4128732276897402]",0.9995418235690596,60,11,11,8,14.0,26.0,y = 0.424809 * x + 1.41287,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d18:0/x:y),1.0,Quadratic,"[0.009839285714285575, -0.10178214285713769, 6.987321428571381]",0.999121929958962,28,6,6,4,16.0,24.0,y = 0.00983929 * x^2 + -0.101782 * x + 6.98732,0.0,False,0.0,0.1330197217919699,0.3131282986978831,相邻不饱和度曲线斜率差超过阈值
detailed_chain,ECN,Cer(d18:0/x:y),2.0,Linear,"[0.4134821428571428, 0.18520833333333542]",0.9998295028279214,29,7,7,6,18.0,24.0,y = 0.413482 * x + 0.185208,0.0,True,1.0,0.1020142857142863,0.246719930900455,通过
detailed_chain,ECN,Cer(d18:0/x:y),3.0,Linear,"[0.41680000000000034, -0.6048000000000098]",0.99974586571397,10,5,5,4,22.0,25.0,y = 0.4168 * x + -0.6048,0.0,True,2.0,0.0033178571428575,0.0079603098437081,通过
detailed_chain,ECN,Cer(d18:0/x:y)(2OH),0.0,Linear,"[0.45152230483271366, -0.262230483271372]",0.997545145840943,42,10,10,7,18.0,28.0,y = 0.451522 * x + -0.26223,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d18:1/x:y),0.0,Linear,"[0.31301089588377706, 2.672323244552059]",0.9999495982946304,31,8,8,4,14.0,24.0,y = 0.313011 * x + 2.67232,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d18:1/x:y),1.0,Linear,"[0.41607142857142854, 0.11842857142857177]",0.9995537441502108,56,11,11,7,18.0,24.0,y = 0.416071 * x + 0.118429,0.0,True,0.0,0.1030605326876514,0.2476991343565872,通过
detailed_chain,ECN,Cer(d18:1/x:y),2.0,Linear,"[0.40553571428571494, -0.34975000000001444]",0.9998537814163196,28,9,9,6,20.0,26.0,y = 0.405536 * x + -0.34975,0.0,True,1.0,0.0105357142857135,0.0253218884120155,通过
detailed_chain,ECN,Cer(d18:1/x:y),3.0,Linear,"[0.4291211340206185, 0.18244329896907274]",0.9992896573874284,16,9,9,7,18.0,27.0,y = 0.429121 * x + 0.182443,0.0,True,2.0,0.0235854197349035,0.0549621490648147,通过
detailed_chain,ECN,Cer(d18:1/x:y),4.0,Linear,"[0.43232530120481955, -0.4759759036144633]",0.999827130088948,4,4,4,4,20.0,26.0,y = 0.432325 * x + -0.475976,0.0,True,3.0,0.003204167184201,0.0074114727388647,通过
detailed_chain,ECN,Cer(d18:1/x:y)(2OH),0.0,Quadratic,"[-0.0210447922819452, 1.2331194132703256, -7.726255759007643]",0.9999014977850323,25,6,6,4,18.0,30.0,y = -0.0210448 * x^2 + 1.23312 * x + -7.72626,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d18:2/x:y),0.0,Linear,"[0.4155157894736843, 0.12922807017543647]",0.99992553976316,37,8,8,6,18.0,26.0,y = 0.415516 * x + 0.129228,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d18:2/x:y),1.0,Linear,"[0.41277142857142873, -0.5062500000000032]",0.9995690520075204,21,8,8,6,20.0,26.0,y = 0.412771 * x + -0.50625,0.0,True,0.0,0.0027443609022555,0.0066047090670891,通过
detailed_chain,ECN,Cer(d18:2/x:y),2.0,Linear,"[0.42778647686832744, 0.20773309608540735]",0.9989987509909276,11,7,7,6,18.0,26.0,y = 0.427786 * x + 0.207733,0.0,True,1.0,0.0150150482968987,0.0350993991367341,通过
detailed_chain,ECN,Cer(d18:2/x:y),3.0,Linear,"[0.42385714285714277, -0.2954999999999952]",0.999611970124446,4,3,3,3,20.0,26.0,y = 0.423857 * x + -0.2955,0.0,True,2.0,0.0039293340111846,0.0091852693426634,通过
detailed_chain,ECN,Cer(d19:0/x:y),0.0,Linear,"[0.4304500000000003, 1.8036499999999958]",0.9981276487763264,32,7,7,5,15.0,23.0,y = 0.43045 * x + 1.80365,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d19:0/x:y)(2OH),0.0,Linear,"[0.4241337920489296, 0.7245183486238549]",0.9991592733719964,33,11,11,7,17.0,29.0,y = 0.424134 * x + 0.724518,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d19:1/x:y),1.0,Linear,"[0.4070384615384616, 0.7471538461538447]",0.9986725221510244,9,5,5,4,18.0,25.0,y = 0.407038 * x + 0.747154,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d19:1/x:y),2.0,Linear,"[0.42082142857142874, -0.28260714285714705]",0.9997882673054448,6,4,4,3,22.0,25.0,y = 0.420821 * x + -0.282607,0.0,True,1.0,0.0137829670329671,0.032752531352209,通过
detailed_chain,ECN,Cer(d19:1/x:y),3.0,Linear,"[0.43651162790697684, 0.4914186046511606]",0.999980381460921,3,3,3,3,17.0,24.0,y = 0.436512 * x + 0.491419,0.0,True,2.0,0.0156901993355481,0.0359445163254431,通过
detailed_chain,ECN,Cer(d19:1/x:y)(2OH),0.0,Linear,"[0.38066867469879495, 1.180000000000005]",0.9992652503349748,8,6,6,4,17.0,23.0,y = 0.380669 * x + 1.18,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d19:2/x:y),1.0,Linear,"[0.4095000000000002, -0.04350000000000698]",0.9992447129909364,3,3,3,3,22.0,24.0,y = 0.4095 * x + -0.0435,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d20:0/x:y),0.0,Linear,"[0.4036613793103448, 2.6547993103448295]",0.9985525822039664,44,9,9,6,14.0,26.0,y = 0.403661 * x + 2.6548,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d20:0/x:y)(2OH),0.0,Linear,"[0.43378050397877976, 1.0155205570291788]",0.9978606900653282,32,10,10,7,16.0,28.0,y = 0.433781 * x + 1.01552,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d20:1/x:y),1.0,Linear,"[0.3175015432098766, 2.818569444444443]",0.9965166736053904,27,10,10,5,14.0,24.0,y = 0.317502 * x + 2.81857,0.0,False,0.0,0.234286918328585,0.4245955373466148,相邻不饱和度曲线斜率差超过阈值
detailed_chain,ECN,Cer(d20:1/x:y),2.0,Linear,"[0.18678061224489798, 5.262785714285714]",0.9999986009767484,11,6,6,3,16.0,32.0,y = 0.186781 * x + 5.26279,0.0,False,1.0,0.1307209309649786,0.4117174664520253,相邻不饱和度曲线斜率差超过阈值
detailed_chain,ECN,Cer(d20:1/x:y),3.0,Linear,"[0.4066428571428575, 1.5559285714285647]",0.9945193536551464,4,3,3,3,21.0,24.0,y = 0.406643 * x + 1.55593,0.0,False,2.0,0.2198622448979595,0.5406765200371386,相邻不饱和度曲线斜率差超过阈值
detailed_chain,ECN,Cer(d20:2/x:y),0.0,Quadratic,"[0.06652763819095502, -2.505195979899508, 32.4892110552765]",0.9999789961766844,7,4,4,4,19.0,24.0,y = 0.0665276 * x^2 + -2.5052 * x + 32.4892,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d20:2/x:y),1.0,Linear,"[0.40930722891566285, 0.4056927710843343]",0.9998459146911076,6,5,5,4,18.0,24.0,y = 0.409307 * x + 0.405693,0.0,False,0.0,0.1684244004834303,0.4114865034991452,相邻不饱和度曲线斜率差超过阈值
detailed_chain,ECN,Cer(d21:0/x:y),0.0,Linear,"[0.40009698275862077, 3.143579741379309]",0.9982726771553764,30,8,8,5,13.0,25.0,y = 0.400097 * x + 3.14358,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d21:0/x:y)(2OH),0.0,Linear,"[0.43516614906832274, 1.3959829192546636]",0.9989932619131806,31,10,10,6,15.0,27.0,y = 0.435166 * x + 1.39598,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d22:0/x:y),0.0,Linear,"[0.4529341317365272, 2.269784431137719]",0.9976412039655784,41,9,9,6,14.0,24.0,y = 0.452934 * x + 2.26978,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d22:0/x:y)(2OH),0.0,Linear,"[0.442814189189189, 1.7039189189189212]",0.9989219298884798,30,10,10,5,14.0,24.0,y = 0.442814 * x + 1.70392,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d23:0/x:y),0.0,Linear,"[0.4187064516129037, 3.6877483870967662]",0.9998237073238728,27,6,6,4,11.0,19.0,y = 0.418706 * x + 3.68775,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d23:0/x:y)(2OH),0.0,Linear,"[0.424003571428571, 2.420267857142866]",0.99916194514632,30,11,11,6,13.0,25.0,y = 0.424004 * x + 2.42027,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d24:0/x:y),0.0,Linear,"[0.34572891566265085, 5.437072289156624]",0.9981472850228283,22,6,6,4,16.0,22.0,y = 0.345729 * x + 5.43707,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d24:0/x:y)(2OH),0.0,Quadratic,"[-0.0022709721903010575, 0.498642381061824, 2.6537281084808173]",0.9998386208752278,13,7,7,5,12.0,19.0,y = -0.00227097 * x^2 + 0.498642 * x + 2.65373,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d24:1/x:y),1.0,Linear,"[0.42199999999999965, 2.512000000000006]",0.997161111142219,9,3,3,3,18.0,20.0,y = 0.422 * x + 2.512,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d26:0/x:y),0.0,Linear,"[0.3356500000000008, 6.325199999999986]",0.999006720916532,9,5,5,4,14.0,20.0,y = 0.33565 * x + 6.3252,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(d26:0/x:y)(2OH),0.0,Linear,"[0.3613103448275861, 5.153827586206896]",0.998929722872378,5,5,5,5,16.0,22.0,y = 0.36131 * x + 5.15383,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
detailed_chain,ECN,Cer(m14:0/x:y),2.0,Linear,"[0.37888461538461576, 0.7278153846153721]",0.999997713577285,5,5,5,3,28.0,36.0,y = 0.378885 * x + 0.727815,0.0,,,,,最低不饱和度曲线，无下邻参考曲线
